127.0.0.1, 2018-04-23 19:17:23, GET, /, HTTP/1.1, 303, 0.859000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.227000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:17:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-23 19:17:43, GET, /admin/default/site, HTTP/1.1, 200, 0.076000
127.0.0.1, 2018-04-23 19:17:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-23 19:17:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-04-23 19:17:57, GET, /, HTTP/1.1, 303, 0.866000
127.0.0.1, 2018-04-23 19:17:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.127000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-23 19:18:37, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
